# Historique XAUUSD M15 - 6674 bougies
# Genere le 2026-03-19 11:54
#
# Format: Date | O | H | L | C | Q1 | Q2 | Q3 | Q4 | Resultat | Mouvements
#
# WR Q1: 4358/6674 (65.3%)
# WR Q2: 4880/6674 (73.1%)
# WR Q3: 5246/6674 (78.6%)
# WR Q4: 5653/6674 (84.7%)
#
Date|Open|High|Low|Close|Q1_pred|Q1_pct|Q2_pred|Q2_pct|Q3_pred|Q3_pct|Q4_pred|Q4_pct|Resultat|Mouvements
2025-12-04 16:15|4187.64|4196.96|4185.82|4196.02|BAISSE|66.0|BAISSE|53.9|HAUSSE|60.8|HAUSSE|59.7|HAUSSE|DDDDDDD,UUU,D,UUUUUU,DDD,UUUUUUUU,D,UUUU,DD,UUU,DD
2025-12-04 16:30|4195.59|4196.02|4187.42|4191.78|HAUSSE|53.1|HAUSSE|55.4|BAISSE|50.7|HAUSSE|51.5|BAISSE|DDD,UUUUUUUUUUUU,DDDDDDDDDDDDDD,UUUUUUUUUUUUUU,DDDDD,U,DDDDDDDDDDDDD,UUUUUUUUU,D,UUUUUUUUUUUUUUUUU,DDDDDD,UUUUUU,DDDDDDD,UU,DDDDDDDDDDDDDDD,UUUUUUU,DDDDDDDDDDD,UUUUUUUUU,DD,UUU,DDDDD,UUUUUU,DD
2025-12-04 16:45|4191.78|4198.44|4188.36|4198.30|BAISSE|53.2|BAISSE|56.7|HAUSSE|54.3|HAUSSE|59.1|HAUSSE|DDDDD,U,D,UUUUUU,DDDD,UUUUUU,DDDDDDD,UU,DDDDDDDDD,UUUUUUU,DDDDD,UU,DDDDDDDDD,UUUUUUUUUUUUUU,DD,UUUUUUU,DD,UUU,DDD,UUUUUUUUUUUUU,DDD,UUUU
2025-12-04 17:00|4198.29|4206.33|4198.29|4204.88|HAUSSE|53.9|HAUSSE|52.5|HAUSSE|59.3|HAUSSE|59.0|HAUSSE|U,DDDDDD,UUUUUU,DDDDD,UUUUUUU,D,U,DDDDDD,U,DD,UUUUUU,DD,UUUU,DD,UUUUUUUUUUUUU,DDD,UUUUUUUUUU,DDDDDDD,UUUUUUUUUUU,DDDDDDDDDD,UUUUU,DDD,UUUUU,DDD,UUUUUU,DD,U,DDDDD,U
2025-12-04 17:15|4204.88|4210.28|4202.58|4208.27|BAISSE|57.6|HAUSSE|59.9|HAUSSE|56.8|HAUSSE|56.5|HAUSSE|DDDDDDD,UU,DDD,UUUUUU,DD,UUU,DDDDDDD,U,DDDDDDDD,UUUUUUUUUU,DD,UUUUUUUUUUU,D,UUUUUUUUUUUUU,DD,UU,DDDDDD,UUUUU,DDDDDD,UUU,DDDDDDD,U,D,UUUUU,D,U,DDDD,UUUU,DDDD,U,DD,UUUU,D
2025-12-04 17:30|4208.22|4213.08|4193.68|4199.94|HAUSSE|66.9|BAISSE|51.3|BAISSE|51.7|BAISSE|53.5|BAISSE|DDD,UUUUUUUUUU,DD,UUUU,DD,U,DDDDDD,UUUU,DDDDDDDD,UU,DDDDDDDD,UUUU,DDDD,UUUUU,DDDDDDDD,UUU,DDD,UUUUU,DDDDDDDDD,U,DDDDD,UUU,DDDDDD,UUUUUUUUUU
2025-12-04 17:45|4199.77|4208.34|4196.86|4201.40|BAISSE|50.1|BAISSE|52.2|HAUSSE|55.5|HAUSSE|53.9|HAUSSE|UUU,DDDDDDDDDDDD,UUUUUU,DDDDDD,UUUUUUUUUUUUUU,DDDDDDD,UUUUUUUUUUUUU,DDDDDDDDDDDDDD,UUUUUUUU,DD,U,DDDDDDDDDDD,UUUUUUUUUUUUUUUUUUUUU,DDDDDD,UUUUUUUU,D,UUUUUUU,DDDDDDDDDDD,UU,DDDDDDDD,UU,DDDDDD,U,DDD,UUUU
2025-12-04 18:00|4201.28|4203.19|4191.39|4202.77|BAISSE|54.1|BAISSE|61.2|BAISSE|53.6|BAISSE|53.6|HAUSSE|UUU,DDDDDDDDDDDDDDDD,UUUUUU,DDD,UUUUUUUUUUU,DDDDD,UU,DDDDDDDDDDDDDDDDDDDDDD,UUUUU,DD,UUUUUUUUUUU,DDDDDDDDDDDD,UUUUUUUUU,DDDDDDDDDDD,UU,DDDD,UUUUUUUUUUUUU,DD,UUUUUUUUUUU,DDDD,UUUUUUUUUU,D,UUUU,DDDDDD,UUUU,DDDDD,UUUUUU,DDDD,UUUU
2025-12-04 18:15|4202.67|4206.44|4200.85|4206.10|HAUSSE|58.2|HAUSSE|54.8|BAISSE|51.8|HAUSSE|54.8|HAUSSE|DDDDDDDD,UUUUUUUUUUU,D,UUUUUUUUUUUUU,DDDDDDDDDDD,UUUUUUUUUUU,D,UUUUUUU,DDDDDDDDD,UUUUU,DDDDDDDDDD,UUUUU,DDD,UUUUUUUUUUUU,DDDDDDDD,UU,DDDDDDDDDDDD,UUUUUUUUUUUUUUUU,DDDDDDDDD,UUUUUUU,DDD,UUUU,DDDDDDDDDDDDDDDDDDDD,UUU,DDDDDDDDDD,UUUUUUUUUUUUUUUUUUUUUUUU,DDDDDDDDDD,UUUUUUUUUUUUUUU,DDDDDDDD,UUUUUUUUUU,D
2025-12-04 18:30|4206.10|4210.26|4204.63|4206.56|BAISSE|55.8|HAUSSE|52.9|BAISSE|53.1|BAISSE|53.2|HAUSSE|U,DDDDDD,UUUUUU,DDDDDDDDDDDDDD,U,DDDDDD,UUUUUUUUUUU,DD,UUUUUUUUUUUUU,DDD,UUUUUUUUUU,DDDDDDDDD,UUUUUUUU,DDDDDD,UUUUUU,DDDDDDDDDDDDDDD,UUUUU,DDDDDDD,UUUUUUU,DDD,UU,DDDDDDDD,UUUU,DDDDDDDD,U,D,UUUUUUU,DDDDDD,UUUUUUU,DDDDD
